index;Heure;Minute;Seconde;D_Lat;D_Lon;Quality;X;Y;perX;perY;pixX;pixY;Ah;V;A;S;D;Deg;RPM
14846;8;59;39;43,7722483333333;-0,0432605;1;-3473,66609317244;4867251,94249241;0,63946271474678;0,236831252578355;599,81602643248;196,806770892613;0,8157;31,73;20,64;0;0;24,7;0
14856;8;59;40;43,7722271666667;-0,04335;1;-3480,85262858787;4867249,58886646;0,636293117278074;0,239211937165125;596,842944006834;198,785119784219;0,8216;31,6;21,45;0;0;24,8;0
14866;8;59;41;43,7722035;-0,0434391666666667;1;-3488,01239850826;4867246,9572532;0,633135324641653;0,241873804971457;593,880934513871;200,997131931281;0,8277;31,61;21,53;0;0;24,7;0
14876;8;59;42;43,772178;-0,0435301666666667;1;-3495,31937865132;4867244,12178257;0,629912605427662;0,244741873805532;590,858023891147;203,380497132397;0,8338;31,61;21,53;0;0;24,7;0
14886;8;59;43;43,7721501666667;-0,0436205;1;-3502,57282780432;4867241,02685711;0,626713495878241;0,247872380309565;587,85725913379;205,981948037248;0,8397;31,6;21,06;0;0;24,7;0
14896;8;59;44;43,7721226666667;-0,0437103333333333;1;-3509,78612871477;4867237,96899663;0,623532093577249;0,250965395718159;584,87310377546;208,55224384179;0,8448;31,71;17,62;0;0;24,7;0
14906;8;59;45;43,7720936666667;-0,0437981666666667;1;-3516,83883665504;4867234,74434375;0,620421520269972;0,254227121059056;581,955386013234;211,262737600075;0,8467;32,28;2,68;0;0;24,4;0
14916;8;59;46;43,7720661666667;-0,0438841666666667;1;-3523,74433437266;4867231,68648327;0,617375873540265;0,257320136468592;579,098569380769;213,8330334054;0,8472;32,4;0,21;0;0;24,5;0
14926;8;59;47;43,7720421666667;-0,0439691666666667;1;-3530,56953560518;4867229,01780503;0,614365641307416;0,260019495370363;576,274971546356;216,076200652772;0,8472;32,45;0,21;0;0;24,4;0
14936;8;59;48;43,7720195;-0,0440526666666667;1;-3537,27429211008;4867226,49738669;0,611408530819852;0,262568889889436;573,501201909021;218,194747498121;0,8473;32,47;0,21;0;0;24,4;0
14946;8;59;49;43,7719993333333;-0,044135;1;-3543,88536938237;4867224,25495567;0,608492737245288;0,264837101188004;570,76618753608;220,079631087231;0,8473;32,47;0,21;0;0;24,4;0
14956;8;59;50;43,7719825;-0,044217;1;-3550,46968115963;4867222,38317441;0,60558874850301;0,266730401529353;568,042246095823;221,652963670892;0,8474;32,48;0,21;0;0;24,4;0
14966;8;59;51;43,7719701666667;-0,044299;1;-3557,05399293688;4867221,01177031;0,602684759760732;0,26811757207662;565,318304655566;222,805702395671;0,8474;32,48;0,21;0;0;24,4;0
14976;8;59;52;43,7719615;-0,0443808333333333;1;-3563,62492196663;4867220,04808095;0,599786673434596;0,269092340569345;562,599899681651;223,615735013126;0,8475;32,48;0,21;0;0;24,4;0
